first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,full_name
Petr,Cech,0,0,24,585,9,0.0,205.0,0.0,3,130,20.4,1,0,0,1.1,47,Petr Cech
Bernd,Leno,0,0,106,2835,42,0.0,807.2,0.0,5,568,80.5,6,0,0,4.0,49,Bernd Leno
Laurent,Koscielny,3,0,62,1329,23,29.5,456.4,105.0,8,319,59.1,3,0,1,0.9,54,Laurent Koscielny
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280.0,5,304,73.7,4,0,3,4.5,53,Hector Bellerin
Nacho,Monreal,1,4,77,1860,24,196.6,413.2,224.0,7,392,83.4,5,0,5,1.3,54,Nacho Monreal
Rob,Holding,0,0,24,806,10,28.7,187.8,14.0,5,148,23.2,1,0,1,0.4,43,Rob Holding
Shkodran,Mustafi,2,0,80,2611,40,106.0,718.6,252.0,5,475,107.8,6,0,9,1.3,54,Shkodran Mustafi
Sead,Kolasinac,0,7,81,1886,29,445.9,323.2,242.0,10,382,101.0,5,0,5,5.4,49,Sead Kolasinac
Konstantinos,Mavropanos,0,0,3,147,1,14.1,27.0,10.0,0,28,5.2,0,0,1,0.1,47,Konstantinos Mavropanos
Stephan,Lichtsteiner,0,0,14,935,18,61.1,113.0,23.0,0,89,20.0,0,0,3,0.8,45,Stephan Lichtsteiner
Sokratis,Papastathopoulos,1,2,64,2198,33,67.9,513.8,120.0,4,402,70.4,5,0,12,1.2,51,Sokratis Papastathopoulos
Mesut,Özil,5,3,89,1732,24,714.2,429.6,254.0,9,363,140.0,5,0,2,2.6,79,Mesut Ozil
Aaron,Ramsey,4,6,91,1319,13,387.2,418.4,502.0,4,298,131.0,9,0,0,0.9,71,Aaron Ramsey
Alex,Iwobi,3,8,99,1961,32,596.7,469.0,646.0,3,382,171.1,4,0,0,1.5,54,Alex Iwobi
Mohamed,Elneny,0,0,10,377,5,76.7,86.6,63.0,0,59,22.7,0,0,0,2.2,42,Mohamed Elneny
Granit,Xhaka,4,3,90,2498,37,674.0,634.6,215.0,8,452,152.6,7,0,10,2.3,52,Granit Xhaka
Henrikh,Mkhitaryan,6,4,98,1637,26,454.9,446.4,600.0,12,354,150.2,3,0,1,4.6,66,Henrikh Mkhitaryan
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44,Reiss Nelson
Ainsley,Maitland-Niles,1,1,34,983,20,98.9,224.2,126.0,3,152,44.8,2,1,1,0.4,44,Ainsley Maitland-Niles
Danny,Welbeck,1,1,19,146,3,56.8,73.6,66.0,3,63,19.5,0,0,0,0.4,64,Danny Welbeck
Alexandre,Lacazette,13,12,166,2497,31,482.4,808.0,1319.0,20,560,260.6,6,0,2,11.4,94,Alexandre Lacazette
Pierre-Emerick,Aubameyang,22,7,205,2722,42,484.6,984.4,1429.0,32,756,289.6,7,0,0,18.8,108,Pierre-Emerick Aubameyang
Lucas,Torreira,2,4,78,2377,38,301.0,440.8,203.0,6,409,94.5,5,1,7,2.6,47,Lucas Torreira
Matteo,Guendouzi,0,0,47,2140,32,312.4,323.2,130.0,0,321,76.6,3,0,9,1.6,44,Matteo Guendouzi
Emiliano,Martínez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,Emiliano Martinez
Emile,Smith-Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Emile Smith-Rowe
Zech,Medley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Zech Medley
Edward,Nketiah,1,0,10,63,3,14.7,40.8,59.0,1,36,11.4,0,0,0,0.0,50,Edward Nketiah
Bukayo,Saka,0,0,1,7,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,Bukayo Saka
Joseph,Willock,0,0,4,63,1,2.5,1.0,23.0,0,4,2.7,1,0,0,0.0,45,Joseph Willock
Carl,Jenkinson,0,0,4,165,3,16.9,26.8,8.0,0,16,5.2,0,0,0,0.0,45,Carl Jenkinson
Denis,Suárez,0,0,4,67,1,4.8,8.4,0.0,0,11,1.4,0,0,0,0.1,57,Denis Suarez
Asmir,Begovic,0,0,63,2160,47,0.0,440.6,0.0,4,363,44.2,5,0,0,2.7,43,Asmir Begovic
Artur,Boruc,0,0,46,1080,18,0.0,302.0,0.0,4,218,30.3,4,0,2,8.6,41,Artur Boruc
Simon,Francis,0,2,40,1227,24,173.3,332.4,39.0,0,244,54.4,4,0,1,0.2,43,Simon Francis
Steve,Cook,1,1,85,2786,56,143.3,731.0,292.0,6,549,116.5,9,0,3,4.2,43,Steve Cook
Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156.0,1,278,66.2,4,0,4,3.2,41,Charlie Daniels
Adam,Smith,1,1,70,2067,33,199.8,374.0,110.0,1,383,68.5,8,1,5,0.4,43,Adam Smith
Tyrone,Mings,0,0,5,141,4,16.3,49.0,2.0,0,41,6.8,0,0,0,0.1,42,Tyrone Mings
Nathan,Aké,4,1,120,3411,70,125.9,1002.0,440.0,8,716,156.8,10,0,3,6.1,51,Nathan Ake
Jack,Simpson,0,0,10,401,9,2.0,85.4,21.0,0,73,11.0,1,0,0,6.1,39,Jack Simpson
Marc,Pugh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43,Marc Pugh
Andrew,Surman,0,0,36,1438,37,163.0,190.8,38.0,0,206,39.2,4,0,2,0.1,46,Andrew Surman
Junior,Stanislas,2,3,56,1021,24,254.5,225.2,340.0,3,205,82.0,2,0,1,0.1,60,Junior Stanislas
Dan,Gosling,2,2,54,1734,33,164.7,400.6,217.0,0,237,78.1,4,0,8,0.1,47,Dan Gosling
Jordon,Ibe,1,1,33,789,23,174.8,131.2,155.0,0,105,46.0,1,0,1,0.2,49,Jordon Ibe
Lewis,Cook,0,0,22,719,10,50.4,76.0,36.0,0,91,16.5,3,0,2,0.1,46,Lewis Cook
Ryan,Fraser,7,14,181,3165,64,1382.4,930.6,696.0,23,751,301.2,9,0,2,23.7,64,Ryan Fraser
Emerson,Hyndman,0,0,1,37,2,1.2,14.0,0.0,0,2,1.5,0,0,0,0.0,44,Emerson Hyndman
David,Brooks,7,6,123,2263,41,466.7,598.0,609.0,7,414,167.5,9,0,3,3.6,50,David Brooks
Callum,Wilson,14,12,168,2528,47,388.4,737.8,1137.0,22,525,225.0,9,0,3,20.3,69,Callum Wilson
Lys,Mousset,1,0,28,350,15,65.1,74.6,201.0,0,74,33.8,0,0,1,0.2,49,Lys Mousset
Joshua,King,12,3,141,2963,57,535.7,655.4,1058.0,20,457,223.8,10,0,3,5.1,64,Joshua King
Jermain,Defoe,0,0,4,22,2,0.0,3.0,23.0,0,12,2.6,0,0,0,0.4,56,Jermain Defoe
Nathaniel,Clyne,0,1,34,1250,26,100.2,199.4,72.0,0,201,36.9,3,0,2,0.6,44,Nathaniel Clyne
Dominic,Solanke,0,1,15,340,5,96.0,79.0,154.0,0,45,33.0,0,0,0,0.4,47,Dominic Solanke
Diego,Rico,0,0,8,606,19,171.6,107.4,36.0,0,89,31.4,0,0,1,0.0,41,Diego Rico
Jefferson,Lerma,2,2,75,2505,49,245.8,539.6,174.0,6,410,96.2,9,0,12,0.3,45,Jefferson Lerma
Chris,Mepham,0,1,27,848,17,24.1,177.2,22.0,0,158,22.5,2,0,1,0.1,45,Chris Mepham
Sam,Surridge,0,0,2,11,0,11.8,5.0,23.0,0,3,4.0,0,0,0,0.1,45,Sam Surridge
Kyle,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Kyle Taylor
Nnamdi,Ofoborh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Nnamdi Ofoborh
Mark,Travers,0,0,9,180,5,0.0,68.2,0.0,1,46,6.8,1,0,0,0.3,40,Mark Travers
Matt,Butcher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Matt Butcher
Mathew,Ryan,0,0,104,3060,55,0.0,707.0,0.0,11,547,70.9,6,0,2,4.9,44,Mathew Ryan
Lewis,Dunk,2,1,91,3151,56,132.9,805.8,245.0,6,573,118.7,7,1,5,3.4,44,Lewis Dunk
